file	extension	original_path	relative_path	bytes	sha256	magic_hex	wad_hash	resolved_game_path	purpose	relevance	referenced_by
02ab7e4623adf97e.bin	.bin	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\02ab7e4623adf97e.bin	Braum.wad/02ab7e4623adf97e.bin	265362	f8ccd705773cef59e965bb60fb76842502996e6a78cc041eb564336970456ad8	50524f50030000000000000032000000	02ab7e4623adf97e	data/characters/braum/braum_multi_skins_skin24_skins_skin25_skins_skin26_skins_skin27_skins_skin28_skins_skin29_skins_skin30_skins_skin31_skins_skin32.bin	Property configuration and asset links	other skin/shared; see reference graph	3f6a40609700ee85.bin;88b5dd6dc0e099bd.bin;8cf62c85e1e2e7f9.bin;992d3c62ff62964c.bin;a582cf4ad353f261.bin;b30d6dd1b38ee53c.bin;c5c66176cca69ad3.bin;caacae9cc35f0267.bin;d3dbd3f84a5b8600.bin
02d06d3767c0afe3.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\02d06d3767c0afe3.tex	Braum.wad/02d06d3767c0afe3.tex	43740	63b0f68b25ef5c5c2bd25eca82fd043cb994b2820cff9836966cab2efd6d2146	5445580000018000010c000136360000	02d06d3767c0afe3	assets/characters/braum/skins/skin01/particles/braum_skin01_r_hit_tar.tex	League texture	other skin/shared; see reference graph	fca448d5ff3861b5.bin
0354b42a27342419.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\0354b42a27342419.tex	Braum.wad/0354b42a27342419.tex	21884	5e89d16d1ad75d20bc16dd7b18a76c459e4e6809b0a4500b95323e9a2d366388	5445580080008000010c0001ffff0000	0354b42a27342419	assets/characters/braum/skins/skin40/particles/braum_skin40_r_fish.tex	League texture	other skin/shared; see reference graph	775c4474dbe4b86c.bin
03be41b6470e88ac.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\03be41b6470e88ac.tex	Braum.wad/03be41b6470e88ac.tex	349556	f8b343e91e27f8934c64537c480625e0cd3f01b8a4875734bcae09f1feabd624	5445580000040002010a00016aa30684	03be41b6470e88ac	assets/characters/braum/skins/skin28/braum_skin28_tx_cm.tex	League texture	other skin/shared; see reference graph	88b5dd6dc0e099bd.bin
03e6ec6076033381.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\03e6ec6076033381.tex	Braum.wad/03e6ec6076033381.tex	174788	ec4340e7f575c5ca085960741ad01429226d6f9a9c08441113dc7638e0471963	5445580000020002010a0001885a8b72	03e6ec6076033381	assets/characters/braum/skins/skin38/braum_skin38_coconut_tx_cm.tex	League texture	other skin/shared; see reference graph	f2aa871abddf9427.bin
03e78a116663752e.bin	.bin	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\03e78a116663752e.bin	Braum.wad/03e78a116663752e.bin	33965	4f6ab30d9dac99ef29d9aaf397d86d7ff7eb7771a41baabaff553dbbeb71f18f	50524f50030000000e0000003f034441	03e78a116663752e	data/characters/braum/skins/skin3.bin	Property configuration and asset links	other skin/shared; see reference graph	
03ed2233eadf4190.anm	.anm	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\03ed2233eadf4190.anm	Braum.wad/03ed2233eadf4190.anm	63872	3005afc6b2254c77bf6cd429080802bd1a75dfe31eab5db39490c6c2c9c6e627	72336432616e6d640500000074f90000	03ed2233eadf4190	assets/characters/braum/skins/skin11/animations/braum_joke2_loop.anm	Animation tracks	other skin/shared; see reference graph	e43dcf714c8a2a42.bin
03eeeca61560070c.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\03eeeca61560070c.tex	Braum.wad/03eeeca61560070c.tex	10948	3e09eb6218b3b15409aa238c3f7ed77f2cb4674dd65e9a3c3fa857fa2b38efd6	5445580080008000010a000162106108	03eeeca61560070c	assets/characters/braum/skins/skin24/particles/braum_skin24_p_poro_mustache.tex	League texture	other skin/shared; see reference graph	02ab7e4623adf97e.bin
041eedd1f9acaf46.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\041eedd1f9acaf46.tex	Braum.wad/041eedd1f9acaf46.tex	87420	bd77b81146a669b9a1ee31a4f9a13ea91dadd1782b987dd04c068008f7f3d1db	5445580000010001010c000129290000	041eedd1f9acaf46	assets/characters/braum/skins/skin42/particles/braum_skin42_ba_trail01.tex	League texture	other skin/shared; see reference graph	ab5fbb4cdcdfb2ef.bin
044eb0a35992aec6.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\044eb0a35992aec6.tex	Braum.wad/044eb0a35992aec6.tex	87420	e95b9e9b7004be238e4de1976f14d5dcd06a42f72c58543f11b355b2049fde06	5445580000010001010c000124240000	044eb0a35992aec6	assets/characters/braum/skins/skin24/particles/braum_skin24_q_ground_dust.tex	League texture	other skin/shared; see reference graph	3f6a40609700ee85.bin;88b5dd6dc0e099bd.bin;8cf62c85e1e2e7f9.bin;992d3c62ff62964c.bin;a582cf4ad353f261.bin;b30d6dd1b38ee53c.bin;c5c66176cca69ad3.bin;caacae9cc35f0267.bin;d3dbd3f84a5b8600.bin
